iter	Logloss
0	0.688105948611	0.6828588151
2	0.6785584404
3	0.6744043013
4	0.6701745689
5	0.6661215838
6	0.6620198264
7	0.6579465979
8	0.6551356199	9	0.6511018761010	0.6469633521111	0.64179617
12	0.6379989295
13	0.6337033529
14	0.6300432523
15	0.626445091
16	0.6226310847
17	0.6191144429
18	0.6151292837
19	0.6117145071
20	0.6083105591
21	0.6052319744
22	0.6018616209
23	0.5983213089
24	0.5950533445
25	0.5926398426
26	0.5881984098227	0.5849046042828	0.582590951229	0.579173156
30	0.5756122613
31	0.5729541364
32	0.5707439516
33	0.5682863769
34	0.5673030298
35	0.5647690513
36	0.5623984392
37	0.560107299
38	0.5575742712
39	0.5549749089
40	0.551749637
441	0.5490430804442	0.5471060261443	0.544592393744	0.5435091929
45	0.5416109417
46	0.5393277668
47	0.5375190141
48	0.5349372142
49	0.5326249224
50	0.5312482671
51	0.5292812686
52	0.5273557078
53	0.5256607119
54	0.5235927194
55	0.5216554013
56	0.5199951804
57	0.5181751811
58	0.5167779004
59	0.5150319032
60	0.5137175021
61	0.5122276444
62	0.5109618286
63	0.5087354573
64	0.5068847162
65	0.505361516
66	0.5039042212
67	0.502302534
68	0.5010337834
69	0.4994993661
70	0.4981914216
71	0.4969083376
72	0.4954695722
73	0.4938786588
74	0.4928458381
75	0.4914499446
76	0.4895451411
77	0.4884995645
78	0.4867762815
79	0.485475301
80	0.4836975319
81	0.4824247326
82	0.4815285966
83	0.4800347753
84	0.4785889124
85	0.477308532
86	0.4755948347
87	0.4744343049
88	0.4733720054
89	0.4722023738
90	0.4712944148
91	0.4701844344
92	0.468981388
93	0.4676900432
94	0.4667063085
95	0.4654606859
96	0.4638889469
97	0.4627234052
98	0.4618344648
99	0.4610010087
100	0.4599814987
101	0.4591938349
102	0.4582037787
103	0.4572779036
104	0.4557200385
105	0.4549644674
106	0.4540052899
107	0.4527489725
108	0.4515214856
109	0.4502016637
110	0.4493417085
111	0.4481925631
112	0.4466481482
113	0.4451975068
114	0.4440344151
115	0.4431341537
116	0.4418370264
117	0.4408485941
118	0.4399065748
119	0.4392723033
120	0.4387317288
121	0.4380231605
122	0.4370083778
123	0.4360968458
124	0.4351825739
125	0.4344889366
126	0.4340073233
127	0.4331807484
128	0.4324788647
129	0.4318575379
130	0.4309736507
131	0.4302565505
132	0.4293072466
133	0.4283571213
134	0.427343893
135	0.4263269779
136	0.4255725859
137	0.4249451363
138	0.4241476967
139	0.423378577
140	0.4226599404
141	0.4220257964
142	0.4213052523
143	0.4202867991
144	0.4194376579
145	0.4184840666
146	0.417686175
147	0.4169236562
148	0.4160295943
149	0.4154387538
150	0.4145524592
151	0.413679291
152	0.4127870446
153	0.4120306402
154	0.411248338
155	0.4104052897
156	0.4096220546
157	0.408934656
158	0.4081988632
159	0.4076205667
160	0.4068752351
161	0.4056519743
162	0.4049445929
163	0.4043520855
164	0.4034376996
165	0.4029575874
166	0.4023438082
167	0.401689855
168	0.4011392282
169	0.4003065157
170	0.3998414671
171	0.3990110562
172	0.3981589112
173	0.3975204391
174	0.3970508639
175	0.3961388403
176	0.3955187617
177	0.3949319229
178	0.3942224565
179	0.3936174063
180	0.3931062735
181	0.3926074603
182	0.3918929847
183	0.3915805155
184	0.3908980626
185	0.3902610314
186	0.3899009714
187	0.3893910293
188	0.3887680457
189	0.388177279
190	0.3876056474
191	0.3867727132
192	0.3863079495
193	0.3857696718
194	0.3852585975
195	0.3846324244
196	0.3839221023
197	0.3834789983
198	0.3830297563
199	0.3825745852
200	0.3820482706
201	0.3815809215
202	0.3808791717
203	0.3803967264
204	0.3799595058
205	0.3794164445
206	0.37895661
207	0.3782607603
208	0.3777174326
209	0.3772460644
210	0.3765241957
211	0.3763204769
212	0.3757490168
213	0.3754076315
214	0.3748715581
215	0.3742931161
216	0.3737797984
217	0.3731687231
218	0.3725700283
219	0.3719372396
220	0.3714941688
221	0.370960199
222	0.3705289989
223	0.370103571
224	0.3696447073
225	0.3689107387
226	0.3685042864
227	0.3681212149
228	0.3675624351
229	0.3670608824
230	0.3667224588
231	0.3661125389
232	0.3656547203
233	0.3653222142
234	0.3647741291
235	0.3642989485
236	0.3638333136
237	0.3635404624
238	0.3630510708
239	0.3626171436
240	0.362218955
241	0.3618063561
242	0.3615445744
243	0.3610164099
244	0.3605161017
245	0.3599291147
246	0.3595096887
247	0.3589249201
248	0.3583370963
249	0.3579006304
250	0.3575625439
251	0.3572472932
252	0.3568003031
253	0.3565238016
254	0.3561887149
255	0.3558005602
256	0.3552559883
257	0.3548372035
258	0.3542522104
259	0.3535292301
260	0.3531195501
261	0.3528580627
262	0.3522222658
263	0.3517466708
264	0.3514071525
265	0.3509410585
266	0.3504118574
267	0.3500610747
268	0.3495525178
269	0.3490058246
270	0.3486649958
271	0.3481144309
272	0.347742361
273	0.3473927371
274	0.3469397599
275	0.3465504182
276	0.3460565922
277	0.3458926969
278	0.3455713327
279	0.345161667
280	0.3445520011
281	0.3442382849
282	0.3438823117
283	0.343552761
284	0.3430565599
285	0.3427924294
286	0.342679913
287	0.3421880009
288	0.3417093482
289	0.3413001286
290	0.340990495
291	0.3407297618
292	0.3401890256
293	0.3399316182
294	0.3395870688
295	0.339112554
296	0.3386010776
297	0.3382261629
298	0.3378194139
299	0.3375355795
300	0.3370851198
301	0.3366758512
302	0.3364322824
303	0.3359776866
304	0.3357694383
305	0.3353978504
